| label | base | transformer | geometry | status | stage2 s | sec/token | decode s | chunks | sec/chunk | ded peak MB | shr peak s2 MB | rx med s2 | a1 | a2 | a3 | a4 | verdict | a1b s2 | a1b dec | verdict v2 | thin base | ref tok | pred res MB | obs res MB | residual MB | verdict v3' |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| q6_warm_768x512_121 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 768x512/121f | completed | 9.3 | 0.001513672 | 2.98 | 3 | 0.9933 | 8031.8 | 1157.3 | 16.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| q6_s_720_b169 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1280x768/169f | completed | 38.55 | 0.001825284 | 11.3 | 5 | 2.26 | 10466.4 | 1156.9 | 4.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| q6_s_720_289 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1280x768/289f | completed | 79.05 | 0.002225507 | 19.83 | 8 | 2.4787 | 14233.3 | 1156.9 | 1.0 | True | False | True | False | inconclusive | False | False | organic | False |  |  |  |  | clean |
| q6_s_720_321 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1280x768/321f | completed | 91.5 | 0.002324695 | 22.67 | 8 | 2.8338 | 15222.9 | 1141.7 | 0.0 | True | False | True | True | inconclusive | False | False | organic | False |  |  |  |  | clean |
| q6_s_720_353 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1280x768/353f | completed | 105.15 | 0.002434028 | 24.36 | 9 | 2.7067 | 15708.5 | 1269.1 | 1.0 | True | False | True | False | inconclusive | False | False | organic | False |  |  |  |  | clean |
| q6_s_720_385 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1280x768/385f | completed | 221.4 | 0.004706633 | 27.14 | 10 | 2.714 | 15862.1 | 2159.0 | 10.5 | True | True | True | True | harmful | True | False | harmful | False |  |  |  |  | plateau |
| q6_s_1080_b89 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1920x1088/89f | completed | 47.1 | 0.00192402 | 13.03 | 3 | 4.3433 | 10929.5 | 1137.0 | 2.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| q6_s_1080_137 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1920x1088/137f | completed | 82.35 | 0.002242647 | 21.18 | 4 | 5.295 | 14124.5 | 1153.2 | 1.0 | True | False | False | True | inconclusive | False | False | organic | False |  |  |  |  | clean |
| q6_s_1080_153 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1920x1088/153f | completed | 96.0 | 0.002352941 | 22.99 | 4 | 5.7475 | 15225.2 | 1138.0 | 1.0 | True | False | True | True | inconclusive | False | False | organic | False |  |  |  |  | clean |
| q6_s_1080_169 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1920x1088/169f | completed | 148.2 | 0.003302139 | 24.83 | 5 | 4.966 | 15944.6 | 1534.5 | 4.0 | True | True | True | False | harmful | True | False | harmful | False |  |  |  |  | plateau |
| q6_s_1080_177 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1920x1088/177f | completed | 207.45 | 0.004421355 | 25.77 | 5 | 5.154 | 15972.8 | 2034.0 | 14.0 | True | True | True | False | harmful | True | False | harmful | False |  |  |  |  | plateau |
| q6_s_896_b161 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 896x1152/161f | completed | 39.0 | 0.001842404 | 11.38 | 4 | 2.845 | 10070.0 | 1139.8 | 2.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| q6_s_896_281 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 896x1152/281f | completed | 81.3 | 0.00224041 | 20.37 | 7 | 2.91 | 14026.0 | 1137.8 | 1.0 | True | False | True | False | inconclusive | False | False | organic | False |  |  |  |  | clean |
| q6_s_896_313 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 896x1152/313f | completed | 94.95 | 0.002354911 | 23.29 | 8 | 2.9112 | 15070.3 | 1153.4 | 1.0 | True | False | True | False | inconclusive | False | False | organic | False |  |  |  |  | clean |
| q6_s_896_345 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 896x1152/345f | completed | 132.45 | 0.002986337 | 25.07 | 9 | 2.7856 | 15967.3 | 1372.8 | 2.5 | True | True | True | False | harmful | False | False | organic | False |  |  |  |  | clean |
| q6_s_896_377 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 896x1152/377f | completed | 282.3 | 0.005834573 | 28.02 | 10 | 2.802 | 15942.5 | 2594.5 | 26891.0 | True | True | True | False | harmful | True | False | harmful | False |  |  |  |  | plateau |
| q6_c_1280x768 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1280x768/186f | completed | 38.7 | 0.001832386 | 12.41 | 5 | 2.482 | 10080.0 | 1147.0 | 3.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| q6_c_896x1152 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 896x1152/186f | completed | 41.55 | 0.001873647 | 12.95 | 5 | 2.59 | 10324.1 | 1154.7 | 2.5 | True | True | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| q6_c_1792x1024 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1792x1024/186f | completed | 91.5 | 0.002320921 | 23.15 | 5 | 4.63 | 14853.6 | 1146.4 | 1.0 | True | False | True | True | inconclusive | False | False | organic | False |  |  |  |  | clean |
| q6_c_1856x1024 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1856x1024/186f | completed | 96.15 | 0.002354771 | 23.76 | 5 | 4.752 | 15239.6 | 1138.9 | 1.0 | True | False | True | True | inconclusive | False | False | organic | False |  |  |  |  | clean |
| q6_c_1920x1024 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1920x1024/186f | completed | 101.1 | 0.002393466 | 24.46 | 5 | 4.892 | 15566.7 | 1138.5 | 1.0 | True | False | True | True | inconclusive | False | False | organic | False |  |  |  |  | clean |
| q6_c_1920x1088 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1920x1088/186f | completed | 148.2 | 0.003302139 | 25.97 | 5 | 5.194 | 15938.4 | 1520.6 | 2.0 | True | True | True | True | harmful | True | False | harmful | False |  |  |  |  | plateau |
| q6_s_720_361 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1280x768/361f | completed | 127.35 | 0.002883832 | 25.91 | 9 | 2.8789 | 15883.7 | 1419.2 | 1.0 | True | False | True | True | inconclusive | False | False | organic | False |  |  |  |  | clean |
| q6_s_720_369 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1280x768/369f | completed | 169.35 | 0.003753324 | 26.34 | 10 | 2.634 | 15812.5 | 1781.3 | 6.0 | True | True | True | False | harmful | True | False | harmful | False |  |  |  |  | plateau |
| q6_s_1080_161 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1920x1088/161f | completed | 100.35 | 0.002342437 | 23.87 | 4 | 5.9675 | 15841.3 | 1139.4 | 1.0 | True | False | True | True | inconclusive | False | False | organic | False |  |  |  |  | clean |
| q6_s_896_353 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 896x1152/353f | completed | 170.25 | 0.003753307 | 25.54 | 9 | 2.8378 | 15873.2 | 1803.1 | 6.0 | True | True | True | False | harmful | True | False | harmful | False |  |  |  |  | plateau |
| q6_c_1856x1088 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1856x1088/186f | completed | 107.85 | 0.00248594 | 25.09 | 5 | 5.018 | 15956.4 | 1140.6 | 1.0 | True | False | True | True | inconclusive | False | False | organic | False |  |  |  |  | clean |
| q6_c_1984x1024 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1984x1024/186f | completed | 105.45 | 0.002415918 | 25.35 | 5 | 5.07 | 15886.9 | 1267.5 | 1.0 | True | False | True | True | inconclusive | False | False | organic | False |  |  |  |  | clean |
| q6_s_720_361_r2 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1280x768/361f | completed | 127.35 | 0.002883832 | 25.89 | 9 | 2.8767 | 15889.1 | 1395.5 | 2.0 | True | True | True | True | harmful | False | False | organic | False |  |  |  |  | clean |
| q6_s_1080_161_r2 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1920x1088/161f | completed | 104.25 | 0.002433473 | 23.89 | 4 | 5.9725 | 15840.6 | 1139.5 | 0.0 | True | False | True | True | inconclusive | False | False | organic | False |  |  |  |  | clean |
| q6_s_896_345_r2 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 896x1152/345f | completed | 145.35 | 0.003277192 | 25.02 | 9 | 2.78 | 15877.3 | 1517.5 | 3.0 | True | True | True | False | harmful | True | False | harmful | False |  |  |  |  | plateau |
| q6_c_1984x1024_r2 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1984x1024/186f | completed | 106.5 | 0.002439974 | 25.3 | 5 | 5.06 | 15959.1 | 1204.3 | 0.0 | True | False | True | True | inconclusive | False | False | organic | False |  |  |  |  | clean |
| q6_s_720_369_r2 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1280x768/369f | completed | 162.9 | 0.003610372 | 26.3 | 10 | 2.63 | 15836.4 | 1731.4 | 5.5 | True | True | True | False | harmful | True | False | harmful | False |  |  |  |  | plateau |
| q6_s_1080_169_r2 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1920x1088/169f | completed | 161.1 | 0.003589572 | 24.88 | 5 | 4.976 | 15877.9 | 1647.6 | 5.5 | True | True | True | False | harmful | True | False | harmful | False |  |  |  |  | plateau |
| q6_s_896_353_r2 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 896x1152/353f | completed | 170.25 | 0.003753307 | 25.53 | 9 | 2.8367 | 15871.4 | 1795.5 | 4.0 | True | True | True | False | harmful | True | False | harmful | False |  |  |  |  | plateau |
| q6_c_1920x1088_r2 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1920x1088/186f | completed | 154.8 | 0.003449198 | 25.95 | 5 | 5.19 | 15862.7 | 1647.5 | 2.0 | True | True | True | True | harmful | True | False | harmful | False |  |  |  |  | plateau |
| q6_s_896_313_r2 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 896x1152/313f | completed | 94.95 | 0.002354911 | 23.29 | 8 | 2.9112 | 15123.9 | 1147.2 | 1.0 | True | False | True | False | inconclusive | False | False | organic | False |  |  |  |  | clean |
| q6_allon_720_b169 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1280x768/169f | completed | 30.75 | 0.001455966 | 11.29 | 5 | 2.258 | 10099.0 | 1154.1 | 10.5 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| q6_allon_720_361 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1280x768/361f | completed | 98.7 | 0.002235054 | 25.91 | 9 | 2.8789 | 15855.6 | 1458.5 | 129.0 | True | True | True | True | harmful | True | False | harmful | False |  |  |  |  | plateau |
| q6_allon_1080_b89 | LTX25 | redgraftLTX25Fast2K_ltx25RedgraftNSFW-Q6_K | 1920x1088/89f | completed | 36.45 | 0.001488971 | 13.08 | 3 | 4.36 | 10985.1 | 1154.2 | 4.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
