| label | base | transformer | geometry | status | stage2 s | sec/token | decode s | chunks | sec/chunk | ded peak MB | shr peak s2 MB | rx med s2 | a1 | a2 | a3 | a4 | verdict | a1b s2 | a1b dec | verdict v2 | thin base | ref tok | pred res MB | obs res MB | residual MB | verdict v3' |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| f_warm | LTX23 | sulphur_distil_fp8mixed | 768x512/121f | completed | 9.9 | 0.001611328 | 6.3 | 3 | 2.1 | 10550.3 | 2196.0 | 2888.5 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| f_b1216 | LTX23 | sulphur_distil_fp8mixed | 1216x704/722f | completed | 130.2 | 0.007079165 | 63.46 | 19 | 3.34 | 15362.0 | 2205.6 | 9.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| f_w46 | LTX23 | sulphur_distil_fp8mixed | 1216x704/722f | completed | 261.3 | 0.006794778 | 64.78 | 19 | 3.4095 | 16061.8 | 4318.3 | 3147.0 | True | True | False | False | organic | True | False | organic | False |  |  |  |  | plateau |
| f_s_1080_b89 | LTX23 | sulphur_distil_fp8mixed | 1920x1088/89f | completed | 37.05 | 0.00151348 | 18.57 | 3 | 6.19 | 12889.9 | 2204.1 | 5.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| f_s_1080_161 | LTX23 | sulphur_distil_fp8mixed | 1920x1088/161f | completed | 415.95 | 0.009709384 | 36.15 | 4 | 9.0375 | 15911.8 | 6078.7 | 27128.5 | True | True | True | True | harmful | True | False | harmful | False |  |  |  |  | plateau |
| f_s_1080_b89_d | LTX23 | sulphur_distil_fp8mixed | 1920x1088/89f | completed | 57.75 | 0.002359069 | 27.53 | 3 | 9.1767 | 12798.1 | 2195.0 | 2.0 | True | False |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| f_s_1080_161_d | LTX23 | sulphur_distil_fp8mixed | 1920x1088/161f | completed | 221.25 | 0.005164566 | 56.96 | 4 | 14.24 | 15865.0 | 5749.5 | 929.0 | True | True | True | True | harmful | True | False | harmful | False |  |  |  |  | plateau |
| g_warm | LTX25 | ltx-2.5-22b-distilled-transformer-fp8_e4m3fn | 768x512/121f | completed | 9.0 | 0.001464844 | 3.01 | 3 | 1.0033 | 7651.1 | 1184.0 | 2057.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| g_s_1080_b89 | LTX25 | ltx-2.5-22b-distilled-transformer-fp8_e4m3fn | 1920x1088/89f | completed | 36.75 | 0.001501225 | 13.1 | 3 | 4.3667 | 11810.8 | 1165.0 | 6.5 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| g_s_1080_161 | LTX25 | ltx-2.5-22b-distilled-transformer-fp8_e4m3fn | 1920x1088/161f | completed | 166.95 | 0.003897059 | 24.12 | 4 | 6.03 | 15944.5 | 2119.0 | 26313.0 | True | True | True | True | harmful | True | False | harmful | False |  |  |  |  | plateau |
| g_s_1080_169 | LTX25 | ltx-2.5-22b-distilled-transformer-fp8_e4m3fn | 1920x1088/169f | completed | 217.35 | 0.004842914 | 25.04 | 5 | 5.008 | 15880.0 | 2748.0 | 26955.5 | True | True | True | False | harmful | True | False | harmful | False |  |  |  |  | plateau |
| g_s_720_b169 | LTX25 | ltx-2.5-22b-distilled-transformer-fp8_e4m3fn | 1280x768/169f | completed | 30.9 | 0.001463068 | 11.29 | 5 | 2.258 | 10900.6 | 1169.3 | 26.5 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| g_s_720_361 | LTX25 | ltx-2.5-22b-distilled-transformer-fp8_e4m3fn | 1280x768/361f | completed | 208.8 | 0.004728261 | 25.98 | 9 | 2.8867 | 15917.6 | 2498.8 | 26933.5 | True | True | True | True | harmful | True | False | harmful | False |  |  |  |  | plateau |
| g_s_720_369 | LTX25 | ltx-2.5-22b-distilled-transformer-fp8_e4m3fn | 1280x768/369f | completed | 219.0 | 0.004853723 | 26.38 | 10 | 2.638 | 15871.5 | 2819.2 | 26915.0 | True | True | True | False | harmful | True | False | harmful | False |  |  |  |  | plateau |
| g_s_896_b161 | LTX25 | ltx-2.5-22b-distilled-transformer-fp8_e4m3fn | 896x1152/161f | completed | 31.35 | 0.001481009 | 11.42 | 4 | 2.855 | 10908.4 | 1165.2 | 8.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| g_s_896_345 | LTX25 | ltx-2.5-22b-distilled-transformer-fp8_e4m3fn | 896x1152/345f | completed | 212.1 | 0.004782197 | 25.14 | 9 | 2.7933 | 15932.8 | 2553.6 | 26959.0 | True | True | True | False | harmful | True | False | harmful | False |  |  |  |  | plateau |
| g_s_896_353 | LTX25 | ltx-2.5-22b-distilled-transformer-fp8_e4m3fn | 896x1152/353f | completed | 219.9 | 0.004847884 | 25.63 | 9 | 2.8478 | 15876.3 | 2883.0 | 26981.0 | True | True | True | False | harmful | True | False | harmful | False |  |  |  |  | plateau |
| g_c_b1280x768 | LTX25 | ltx-2.5-22b-distilled-transformer-fp8_e4m3fn | 1280x768/186f | completed | 30.9 | 0.001463068 | 12.4 | 5 | 2.48 | 10899.2 | 1211.4 | 7.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| g_c_1856x1024 | LTX25 | ltx-2.5-22b-distilled-transformer-fp8_e4m3fn | 1856x1024/186f | completed | 117.75 | 0.002883768 | 23.93 | 5 | 4.786 | 15784.2 | 1727.9 | 7965.0 | True | True | True | True | harmful | True | False | harmful | False |  |  |  |  | plateau |
| g_c_1920x1088 | LTX25 | ltx-2.5-22b-distilled-transformer-fp8_e4m3fn | 1920x1088/186f | completed | 217.35 | 0.004842914 | 25.92 | 5 | 5.184 | 15890.0 | 2755.8 | 26983.0 | True | True | True | True | harmful | True | False | harmful | False |  |  |  |  | plateau |
